,0,1,2,__mappify_error,Latitude,Longitude,State,mean_median_dist,median_median_dist,n_results,winnerPct,searchType
5978,Smylies,LOCATION,18910314-947-199557564 (1 of 2).txt,No match found.,,,None,,,0,,None
5979,Queensland,LOCATION,18911224-8-19004702 (1 of 2).txt,No match found.,121.2023,-31.02926,WA,0.0,0.0,1,100.0,exact
5980,Laundeston,LOCATION,18910314-947-199557564 (1 of 2).txt,No match found.,,,None,,,0,,None
5981,South Seas,LOCATION,18910314-947-199557564 (1 of 2).txt,No match found.,,,None,,,0,,None
5982,N.W,LOCATION,18910314-947-199557564 (1 of 2).txt,No match found.,,,None,,,0,,None
5983,New Guinea,LOCATION,18910314-947-199557564 (1 of 2).txt,No match found.,148.3454132,-37.37958145,VIC,0.0,0.0,1,100.0,exact
5984,Victoria,LOCATION,18840215-74-90543760 (1 of 1).txt,No match found.,148.13444444444443,-33.930277777777775,NSW,4.494904880681709,3.9293591131536396,11,63.63636363636363,exact
5985,Launceston,LOCATION,18840215-74-90543760 (1 of 1).txt,No match found.,147.2219997,-41.400499315,TAS,0.0910178283940018,0.0910178283940018,2,100.0,exact
5986,Bualbul Oreook,LOCATION,18761025-366-101457933 (1 of 1).txt,No match found.,,,None,,,0,,None
5987,Novea Scotia,LOCATION,18761025-366-101457933 (1 of 1).txt,No match found.,149.06306972222222,-35.16404625,ACT,0.0014750895361481569,0.0014750895361481569,3,66.66666666666666,fuzzy
5988,Humantia,LOCATION,18950907-350-108686054 (2 of 2).txt,No match found.,,,None,,,0,,None
5989,Sassafras Gully,LOCATION,18950907-350-108686054 (2 of 2).txt,No match found.,148.05999755,-37.17111015,Ambiguous,3.3968818750789764,3.669808966811294,6,,exact
5990,Geelong,LOCATION,18690325-809-177007828 (1 of 2).txt,No match found.,144.35597230000002,-38.14819527,VIC,0.005005074585987808,0.00224929642066765,5,80.0,exact
5991,Castlemaine,LOCATION,18690325-809-177007828 (1 of 2).txt,No match found.,144.218057094444,-37.064165115,VIC,0.0021892675707343903,0.001456216280219173,4,100.0,exact
5992,Pennant Hills,LOCATION,18881126-1178-228414597 (4 of 8).txt,No match found.,151.07333333333332,-33.74,NSW,0.0,0.0,1,100.0,exact
