article_id,article_placename,latitude_1,longitude_2,State_2,mean_median_dist,median_median_dist,n_results,winnerPct,searchType,filename_2
6229700,Cunninghame,148.0243073,-37.86041641,VIC,0,0,1,100,exact,18890312-13-6229700 (1 of 1).txt
6229700,Victoria,148.1344444,-33.93027778,NSW,4.494904881,3.929359113,11,63.63636364,exact,18890312-13-6229700 (1 of 1).txt
199895244,Snetton,,,None,,,0,,None,18960613-966-199895244 (1 of 1).txt
66232446,Geraldton,114.6145,-28.77904,WA,0.047854708,0,5,80,exact,18910311-180-66232446 (1 of 1).txt
66232446,Sydney,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,18910311-180-66232446 (1 of 1).txt
66232446,Sydney,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,18910311-180-66232446 (1 of 1).txt
66232446,Mejfas,,,None,,,0,,None,18910311-180-66232446 (1 of 1).txt
187716435,Gwydir,151.0986111,-29.44013889,NSW,1.280859546,1.280859546,2,100,exact,18750101-985-187716435 (3 of 4).txt
187716435,North Shore,144.7163182,-39.43423653,Ambiguous,1.866847006,1.380142063,6,,exact,18750101-985-187716435 (3 of 4).txt
38439322,Port Phillip,144.8913889,-38.1072222,VIC,0,0,1,100,exact,18510408-41-38439322 (3 of 6).txt
108263768,Edinburgh,145.45,-33.415,Ambiguous,6.220491708,7.045364013,3,,exact,18671220-399-108263768 (2 of 4).txt
108263768,Melbourne,144.9752778,-37.82986111,VIC,0.012223011,0.012223011,5,40,exact,18671220-399-108263768 (2 of 4).txt
108263768,Hobarfc Town,,,None,,,0,,None,18671220-399-108263768 (2 of 4).txt
108263768,Iiaunqeston,,,None,,,0,,None,18671220-399-108263768 (2 of 4).txt
108263768,Hoharfe Town,,,None,,,0,,None,18671220-399-108263768 (2 of 4).txt
108263768,Sydney,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,18671220-399-108263768 (2 of 4).txt
171613069,Sydney,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,18991125-877-171613069 (1 of 1).txt
171613069,Arrah,150.6594444,-31.565,Ambiguous,3.821264951,4.445188199,18,,fuzzy,18991125-877-171613069 (1 of 1).txt
171613069,Transvaal,,,None,,,0,,None,18991125-877-171613069 (1 of 1).txt
171613069,Sydney,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,18991125-877-171613069 (1 of 1).txt
171613069,Glebe Island,151.1677778,-33.865,NSW,0,0,1,100,exact,18991125-877-171613069 (1 of 1).txt
171613069,Glebe Island,151.1677778,-33.865,NSW,0,0,1,100,exact,18991125-877-171613069 (1 of 1).txt
86163732,Quinderup,,,None,,,0,,None,18880619-341-86163732 (1 of 2).txt
65989491,NEW ZEALAND,,,None,,,0,,None,18591126-170-65989491 (1 of 1).txt
65989491,NEW ZEALAND,,,None,,,0,,None,18591126-170-65989491 (1 of 1).txt
18959694,Dochra,151.2094444,-32.69,NSW,0,0,1,100,exact,18880207-8-18959694 (1 of 3).txt
11842524,Hiddlestone,,,None,,,0,,None,18840123-13-11842524 (1 of 1).txt
11842524,Waratah,149.6104476,-33.26847222,NSW,3.18308169,3.313129242,25,64,exact,18840123-13-11842524 (1 of 1).txt
93148281,Sinu,,,None,,,0,,None,18840105-289-93148281 (2 of 2).txt
