0,1,2
Red Creek,LOCATION,18910110-698-163657874 (8 of 12).txt
Albert McKay,PERSON,18910110-698-163657874 (8 of 12).txt
Tupra,LOCATION,18910110-698-163657874 (8 of 12).txt
Walgett,LOCATION,18910110-698-163657874 (8 of 12).txt
Canmore,LOCATION,18910110-698-163657874 (8 of 12).txt
Killarney,LOCATION,18910110-698-163657874 (8 of 12).txt
Buchanan,PERSON,18910110-698-163657874 (8 of 12).txt
Mickie 's Plains,LOCATION,18910110-698-163657874 (8 of 12).txt
Glenmore,ORGANIZATION,18910110-698-163657874 (8 of 12).txt
Looney Bros,PERSON,18910110-698-163657874 (8 of 12).txt
Mickie,PERSON,18910110-698-163657874 (8 of 12).txt
Darribell,ORGANIZATION,18910110-698-163657874 (8 of 12).txt
Little Bros,ORGANIZATION,18910110-698-163657874 (8 of 12).txt
Budderabong,LOCATION,18910110-698-163657874 (8 of 12).txt
J. Rogers,PERSON,18910110-698-163657874 (8 of 12).txt
GOODOOGA,LOCATION,18910110-698-163657874 (8 of 12).txt
Queensland,LOCATION,18910110-698-163657874 (8 of 12).txt
Brewarrina,LOCATION,18910110-698-163657874 (8 of 12).txt
GUNDAGAI,LOCATION,18910110-698-163657874 (8 of 12).txt
Thomas,PERSON,18650301-809-155027199 (10 of 13).txt
NEWSTEAD,ORGANIZATION,18650301-809-155027199 (10 of 13).txt
Newstead,PERSON,18650301-809-155027199 (10 of 13).txt
Marsden,PERSON,18650301-809-155027199 (10 of 13).txt
Bridge Inn,LOCATION,18650301-809-155027199 (10 of 13).txt
Green,PERSON,18900905-402-110268282 (3 of 4).txt
Augustus Smith,PERSON,18900905-402-110268282 (3 of 4).txt
Green,PERSON,18900905-402-110268282 (3 of 4).txt
Biddy,PERSON,18900905-402-110268282 (3 of 4).txt
Green,PERSON,18900905-402-110268282 (3 of 4).txt
Jack,PERSON,18900905-402-110268282 (3 of 4).txt
Associated Press,ORGANIZATION,18800123-30-2982471 (1 of 2).txt
Adelaide,LOCATION,18800123-30-2982471 (1 of 2).txt
Scott,PERSON,18800123-30-2982471 (1 of 2).txt
Rogan,PERSON,18800123-30-2982471 (1 of 2).txt
London,LOCATION,18800123-30-2982471 (1 of 2).txt
Times,ORGANIZATION,18800123-30-2982471 (1 of 2).txt
Service,PERSON,18800123-30-2982471 (1 of 2).txt
Legislative Council,ORGANIZATION,18800123-30-2982471 (1 of 2).txt
Wagga,LOCATION,18931223-52-71193207 (19 of 19).txt
Brookong,LOCATION,18931223-52-71193207 (19 of 19).txt
Bullenbong,LOCATION,18931223-52-71193207 (19 of 19).txt
Grubben Run,PERSON,18931223-52-71193207 (19 of 19).txt
Yerong Creek Railway Station,LOCATION,18931223-52-71193207 (19 of 19).txt
Egan Creek,LOCATION,18931223-52-71193207 (19 of 19).txt
Eunonyhareenyha Station,LOCATION,18931223-52-71193207 (19 of 19).txt
NARRABRI,LOCATION,18931223-52-71193207 (19 of 19).txt
Nandewar Ranges,LOCATION,18931223-52-71193207 (19 of 19).txt
Board,ORGANIZATION,18600128-8-18650885 (1 of 1).txt
Port Albert,LOCATION,18600128-8-18650885 (1 of 1).txt
Tho Portland Chronicle,ORGANIZATION,18600128-8-18650885 (1 of 1).txt
Wambo Vale,LOCATION,18600128-8-18650885 (1 of 1).txt
Bendigo,LOCATION,18600128-8-18650885 (1 of 1).txt
Watson,PERSON,18600128-8-18650885 (1 of 1).txt
Watson,PERSON,18600128-8-18650885 (1 of 1).txt
Latham,PERSON,18600128-8-18650885 (1 of 1).txt
Epsom,LOCATION,18600128-8-18650885 (1 of 1).txt
Richard Reed,PERSON,18600128-8-18650885 (1 of 1).txt
William Nioholas,PERSON,18600128-8-18650885 (1 of 1).txt
Agnes,PERSON,18600128-8-18650885 (1 of 1).txt
Cornwall,LOCATION,18600128-8-18650885 (1 of 1).txt
Cornwall,LOCATION,18600128-8-18650885 (1 of 1).txt
England,LOCATION,18660308-558-147267336 (1 of 2).txt
Indented Heads,LOCATION,18660308-558-147267336 (1 of 2).txt
Savage,PERSON,18660308-558-147267336 (1 of 2).txt
Maryborough,PERSON,18870204-558-150395118 (1 of 1).txt
J. Tynan,PERSON,18870204-558-150395118 (1 of 1).txt
Simon,PERSON,18870204-558-150395118 (1 of 1).txt
Ballarat,LOCATION,18870204-558-150395118 (1 of 1).txt
Geelong,LOCATION,18870204-558-150395118 (1 of 1).txt
Melbourne,LOCATION,18870204-558-150395118 (1 of 1).txt
Ballarai,LOCATION,18870204-558-150395118 (1 of 1).txt
Geelong,LOCATION,18870204-558-150395118 (1 of 1).txt
Melbourne,LOCATION,18870204-558-150395118 (1 of 1).txt
