,Placename,Enitity,File,__mappify_error,Latitude,Longitude,State,median_dist
33,Town Hall,LOCATION,18650615-582-207003170 (1 of 2).txt,No match found.,144.87033388888887,-34.43839,Ambiguous,6.373289575618929
34,LA,LOCATION,18841210-13-6062882 (1 of 2).txt,No match found.,,,None,
35,Upper Murray,LOCATION,18981217-52-71321501 (2 of 6).txt,No match found.,116.2814,-32.99,WA,0.0
36,Tasmania,LOCATION,18950906-367-101102490 (1 of 2).txt,No match found.,146.75,-42.0,TAS,0.0
37,Wol,LOCATION,18950906-367-101102490 (1 of 2).txt,No match found.,,,None,
38,Victoria,LOCATION,18950828-1220-233887091 (1 of 3).txt,No match found.,148.13444444444443,-33.930277777777775,NSW,4.494904880681709
39,Summer Island,LOCATION,18720917-65-61879754 (4 of 5).txt,No match found.,152.96777777777777,-30.981666666666666,NSW,0.0
40,Summer Island,LOCATION,18720917-65-61879754 (4 of 5).txt,No match found.,152.96777777777777,-30.981666666666666,NSW,0.0
41,N.E.,LOCATION,18720917-65-61879754 (4 of 5).txt,No match found.,,,None,
42,Kempsey,LOCATION,18720917-65-61879754 (4 of 5).txt,No match found.,152.83444444444444,-31.081666666666667,NSW,1.8103225775421914
43,Sydney,LOCATION,18950126-493-126613511 (1 of 1).txt,No match found.,151.20944444444444,-33.865,NSW,0.0026851851851835327
44,Munmurra River,LOCATION,18950126-493-126613511 (1 of 1).txt,No match found.,150.01777777777778,-32.14833333333333,NSW,0.0
45,Mount Macedon,LOCATION,18850220-436-254552772 (1 of 1).txt,No match found.,144.5843048,-37.3976388888888,VIC,0.012631696594807963
46,West Gippsland,LOCATION,18930218-621-221779587 (3 of 5).txt,No match found.,145.9281921,-38.17263794,VIC,0.0
47,Great Southern,LOCATION,18930218-621-221779587 (3 of 5).txt,No match found.,117.2832,-33.38355,WA,1.7221951510789961
48,Tupra,LOCATION,18910110-698-163657874 (8 of 12).txt,No match found.,144.161178,-34.2143605,NSW,0.0
49,Killarney,LOCATION,18910110-698-163657874 (8 of 12).txt,No match found.,148.7469475,-33.6163125,NSW,2.4608802614176986
50,Budderabong,LOCATION,18910110-698-163657874 (8 of 12).txt,No match found.,,,None,
51,Mickie 's Plains,LOCATION,18910110-698-163657874 (8 of 12).txt,No match found.,147.9650825,-33.3076075,NSW,0.0
52,GOODOOGA,LOCATION,18910110-698-163657874 (8 of 12).txt,No match found.,147.45444444444442,-29.107222222222223,NSW,0.008162214151012108
53,Queensland,LOCATION,18910110-698-163657874 (8 of 12).txt,No match found.,121.2023,-31.02926,WA,0.0
54,Brewarrina,LOCATION,18910110-698-163657874 (8 of 12).txt,No match found.,146.86666666666667,-29.955694444444447,NSW,0.014473956349597729
55,GUNDAGAI,LOCATION,18910110-698-163657874 (8 of 12).txt,No match found.,148.1011111111111,-35.065,NSW,0.017568209223160408
56,Bridge Inn,LOCATION,18650301-809-155027199 (10 of 13).txt,No match found.,142.8237457,-37.02958298,VIC,0.0
57,Wagga,LOCATION,18931223-52-71193207 (19 of 19).txt,No match found.,147.35009141666666,-31.769350944444444,NSW,1.8112052104092018
58,Bullenbong,LOCATION,18931223-52-71193207 (19 of 19).txt,No match found.,146.93345944444445,-35.15818344444445,NSW,0.007426769092060911
59,Eunonyhareenyha Station,LOCATION,18931223-52-71193207 (19 of 19).txt,No match found.,,,None,
60,Yerong Creek Railway Station,LOCATION,18931223-52-71193207 (19 of 19).txt,No match found.,147.06777777777776,-35.38166666666667,NSW,0.0
61,NARRABRI,LOCATION,18931223-52-71193207 (19 of 19).txt,No match found.,149.7305,-30.315283333333333,Ambiguous,0.9117855696094138
62,Nandewar Ranges,LOCATION,18931223-52-71193207 (19 of 19).txt,No match found.,151.97041666666667,-28.481250000000003,Ambiguous,2.195536270228504
63,Epsom,LOCATION,18600128-8-18650885 (1 of 1).txt,No match found.,144.312912,-36.71763992,VIC,0.005861559823502226
64,Indented Heads,LOCATION,18660308-558-147267336 (1 of 2).txt,No match found.,,,None,
