0,1,2,__mappify_error
Wagga,,18840119-240-84701747 (2 of 3).txt,
Whipatick,,18840119-240-84701747 (2 of 3).txt,
Loliwah,,18841113-367-103507757 (1 of 1).txt,
Paris,,18840621-367-103506603 (1 of 1).txt,
Paris,,18840621-367-103506603 (1 of 1).txt,
Paris,,18840621-367-103506603 (1 of 1).txt,
Paris,,18840621-367-103506603 (1 of 1).txt,
Richmond,,18520218-21-2959457 (1 of 2).txt,
Launceston,,18520218-21-2959457 (1 of 2).txt,
Huon,,18520218-21-2959457 (1 of 2).txt,
Long Bay,,18520218-21-2959457 (1 of 2).txt,
Mount Egerton,,18820328-185-200668998 (1 of 2).txt,
Germany,,18820328-185-200668998 (1 of 2).txt,
Russia,,18820328-185-200668998 (1 of 2).txt,
Murray,,18820328-185-200668998 (1 of 2).txt,
Carlton,,18820328-185-200668998 (1 of 2).txt,
Fitzroy,,18820328-185-200668998 (1 of 2).txt,
Melbourne,,18820328-185-200668998 (1 of 2).txt,
Sydney,,18820328-185-200668998 (1 of 2).txt,
Town Hall,,18980312-335-165312245 (2 of 2).txt,
KEMPSEY,,18970227-508-108862190 (1 of 3).txt,
Yarra River,,18861120-1220-234172912 (1 of 1).txt,
Penshursta,,18730308-567-194848417 (1 of 1).txt,
Melbourne,,18550210-170-65718847 (1 of 2).txt,
Melbourne,,18550210-170-65718847 (1 of 2).txt,
Sci'ton 's Hotel,,18550210-170-65718847 (1 of 2).txt,
Geclong,,18550210-170-65718847 (1 of 2).txt,
Bream Creek,,18550210-170-65718847 (1 of 2).txt,
Maitlaud,,18720115-67-60880075 (2 of 2).txt,
Rocky Creek,,18720115-67-60880075 (2 of 2).txt,
Barraba,,18720115-67-60880075 (2 of 2).txt,
Angledool,,18720115-67-60880075 (2 of 2).txt,
Bald Hill,,18630106-13-6482437 (1 of 17).txt,
Bluo Mountains,,18751012-1056-212667061 (1 of 1).txt,
Brisbane,,18751012-1056-212667061 (1 of 1).txt,
Singapore,,18751012-1056-212667061 (1 of 1).txt,
Brisbane,,18751012-1056-212667061 (1 of 1).txt,
Melbourne,,18751012-1056-212667061 (1 of 1).txt,
Wccchurob,,18751012-1056-212667061 (1 of 1).txt,
Pcntridgo,,18751012-1056-212667061 (1 of 1).txt,
Town Hall,,18751012-1056-212667061 (1 of 1).txt,
Cr,,18980212-335-165314695 (3 of 3).txt,
Dubbo,,18711218-67-60879207 (2 of 2).txt,
Tatooke Estate,,18881229-460-142434272 (4 of 6).txt,
AVOCA,,18881229-460-142434272 (4 of 6).txt,
Green-hill Creek,,18881229-460-142434272 (4 of 6).txt,
Avoca,,18881229-460-142434272 (4 of 6).txt,
Clifden,,18800918-8-812130 (1 of 1).txt,
Adelaide,,18500215-41-38440554 (2 of 2).txt,
Sydney,,18500215-41-38440554 (2 of 2).txt,
VWarri River,,18740211-366-100844629 (1 of 2).txt,
Tbwn Hall,,18900131-30-3131707 (1 of 3).txt,
Fremantle,,18900131-30-3131707 (1 of 3).txt,
Subiaco,,18900131-30-3131707 (1 of 3).txt,
Sydney,,18821213-41-43333585 (1 of 1).txt,
Temora,,18821213-41-43333585 (1 of 1).txt,
Tamworth,,18821213-41-43333585 (1 of 1).txt,
Cape Otway,,18821213-41-43333585 (1 of 1).txt,
Lome,,18810704-1052-212695602 (1 of 1).txt,
Queensland,,18790208-701-145215536 (2 of 3).txt,
Cumiamulla,,18790208-701-145215536 (2 of 3).txt,
Georgetown,,18790208-701-145215536 (2 of 3).txt,
Brisbane,,18790208-701-145215536 (2 of 3).txt,
Brisbane,,18790208-701-145215536 (2 of 3).txt,
Edina,,18710127-558-150655845 (1 of 1).txt,
Melbourne,,18710127-558-150655845 (1 of 1).txt,
iSTorth Queens,,18710127-558-150655845 (1 of 1).txt,
Lai Lai,,18881228-185-209452794 (3 of 3).txt,
Ballarat,,18881228-185-209452794 (3 of 3).txt,
Clarendon,,18881228-185-209452794 (3 of 3).txt,
Marongo,,18720103-366-100871762 (1 of 2).txt,
Burramundra,,18720103-366-100871762 (1 of 2).txt,
Forboes,,18720103-366-100871762 (1 of 2).txt,
Eurola,,18720103-366-100871762 (1 of 2).txt,
Queens,,18920608-180-66306761 (1 of 1).txt,
Perth,,18920608-180-66306761 (1 of 1).txt,
Echuca,,18860112-8-18881661 (5 of 12).txt,
Moama,,18860112-8-18881661 (5 of 12).txt,
Sandhurst,,18860112-8-18881661 (5 of 12).txt,
Goornong,,18860112-8-18881661 (5 of 12).txt,
Warrnambool,,18860112-8-18881661 (5 of 12).txt,
Lake Carteronge,,18860112-8-18881661 (5 of 12).txt,
East Woodford,,18860112-8-18881661 (5 of 12).txt,
London,,18840124-326-198970693 (4 of 4).txt,
Australia,,18540204-821-158096337 (2 of 6).txt,
Oourt,,18980226-821-162389589 (3 of 3).txt,
