INDEX,FILE,QUOTE_TRANSCRIPTION,LAT,LNG,VERIFICATION_STATUS,COMMENT,SECOND_QUOTE_TRANSCRIPTION,Column
66,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Lewis Ponds Creek,-33.231114,149.267066,verified,,Lewis Ponds Creek,
67,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Guyong,-33.416859,149.25455,NOT_IDENTIFIABLE,,Guyong,
68,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,California,37.24235922,-119.6060445,VERIFIED,,California,
69,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Australia,-25.73650334,134.48623,VERIFIED,,Australia,
70,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Sydney,-33.86785,151.20732,VERIFIED,,Sydney,
71,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,California,37.24235922,-119.6060445,VERIFIED,,California,
72,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,San Joaquin,36.60662,-120.18904,VERIFIED,,San Joaquin,
73,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Sierra,38.384369,118.683764,UNVERIFIED,,Sierras,
74,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Sacramento,38.58157,-121.4944,VERIFIED,,Sacramento,
75,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Feather River,39.155517,121.585057,NOT_IDENTIFIABLE,,Feather River,
76,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Yuba,39.14045,-121.61691,VERIFIED,,Yuba,
77,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Lewis Ponds Creek,-33.231114,149.267066,verified,,Lewis Ponds Creek,
78,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Guyong,-33.416859,149.25455,NOT_IDENTIFIABLE,,Guyong,
79,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Guyong,-33.416859,149.25455,NOT_IDENTIFIABLE,,Guyong,
80,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Summerhill Creek,-33.20352,149.152332,NOT_IDENTIFIABLE,,Summerhill Creek,
81,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Macquarie River,-31.59472,147.843223,NOT_IDENTIFIABLE,,Macquarie River,
82,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Turon Mountains,-32.59023,150.249203,UNVERIFIED,Geographic Region,Turon Mountains,
83,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Turon,-35.228874,149.105874,NOT_IDENTIFIABLE,,Turon,
84,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Lewis Ponds Creek,-33.231114,149.267066,verified,,Lewis Ponds Creek,
85,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Summerhill Creek,-33.20352,149.152332,UNVERIFIED,,Summer Hill Creek,
86,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Lewis Ponds Creek,-33.231114,149.267066,verified,,Lewis Ponds Creek,
87,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Blue Mountains,-33.424994,150.307392,UNVERIFIED,Geographic Region,Blue Mountains,
88,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Australia,-25.73650334,134.48623,VERIFIED,,Australia,
89,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Turon,-35.228874,149.105874,NOT_IDENTIFIABLE,,Turon,
90,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Blue Mountains,-33.424994,150.307392,UNVERIFIED,,Blue Mountains,
91,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Victoria,-36.85717399,144.3100467,VERIFIED,,Victoria,
92,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Clunes,-37.297313,143.784675,NOT_IDENTIFIABLE,,Clunes,
93,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Anderson's Creek,,,UNVERIFIED,Imaginary,Anderson's Creek,
94,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Mount Alex,-36.99659,144.30548,UNVERIFIED,,Mount Alex,
95,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Mount Alexander,-36.99659,144.30548,NOT_IDENTIFIABLE,Geographic Region,Mount Alex- ander,
96,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Buninyong,-37.658153,143.89719,NOT_IDENTIFIABLE,,Buninyong,
97,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Mount Vittoria,,,UNVERIFIED,imaginary,Mount Vittoria,
98,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Spain,40.22822936,-3.639066965,VERIFIED,,Spain,
99,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,Blue Mountains,-33.415824,150.304645,UNVERIFIED,,Blue Mountains,
100,10214_18_06_1913_5_XV_The House by Atholton._26877306.txt,Atholton,-37.50957,140.36774,NOT_IDENTIFIABLE,homestead,Atholton,
