article_id,Placename,Filename,latitude,longitude,State,mean_median_dist,median_median_dist,n_results,winnerPct,searchType,Trove_id
10395013,Yuba,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,145.9686755,-35.7568385,NSW,0,0,1,100,exact,8651
10395013,Lewis Ponds Creek,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,149.2511111,-33.39833333,NSW,0,0,1,100,exact,8651
10395013,Guyong,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,149.2588889,-33.41222222,NSW,0,0,1,100,exact,8651
10395013,Guyong,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,149.2588889,-33.41222222,NSW,0,0,1,100,exact,8651
10395013,Summerhill Creek,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,151.3166667,-26.9,QLD,0,0,1,100,exact,8651
10395013,Macquarie River,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,148.1855531,-37.28916758,Ambiguous,4.421161885,4.421161885,2,,exact,8651
10395013,Turon Mountains,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,,,None,,,0,,None,8651
10395013,Turon,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,149.8344444,-33.28166667,NSW,0,0,1,100,exact,8651
10395013,Lewis Ponds Creek,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,149.2511111,-33.39833333,NSW,0,0,1,100,exact,8651
10395013,Summerhill Creek,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,151.3166667,-26.9,QLD,0,0,1,100,exact,8651
10395013,Lewis Ponds Creek,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,149.2511111,-33.39833333,NSW,0,0,1,100,exact,8651
10395013,Blue Mountains,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,150.3344444,-33.49833333,NSW,0.100154202,0,5,60,exact,8651
10395013,Australia,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,137.13828,-28.61389,Ambiguous,0,0,2,,exact,8651
10395013,Turon,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,149.8344444,-33.28166667,NSW,0,0,1,100,exact,8651
10395013,Blue Mountains,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,150.3344444,-33.49833333,NSW,0.100154202,0,5,60,exact,8651
10395013,Victoria,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,148.1344444,-33.93027778,NSW,4.494904881,3.929359113,11,63.63636364,exact,8651
10395013,Clunes,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,153.4122222,-28.7275,NSW,1.731551162,0.026556625,7,57.14285714,exact,8651
10395013,Anderson's Creek,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,143.6559738,-37.7615282,VIC,1.514550138,1.410955937,31,51.61290323,fuzzy,8651
10395013,Mount Alex,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,150.4333333,-22.68333333,QLD,0,0,1,100,fuzzy,8651
10395013,Mount Alexander,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,148.0166667,-28.18333333,Ambiguous,14.30064892,8.674076124,13,,exact,8651
10395013,Buninyong,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,143.9016653,-37.6497222,VIC,0.02307564,0.021874525,5,80,exact,8651
10395013,Mount Vittoria,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,,,None,,,0,,None,8651
10395013,Spain,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,,,None,,,0,,None,8651
10395013,Blue Mountains,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,150.3344444,-33.49833333,NSW,0.100154202,0,5,60,exact,8651
26877306,Atholton,10214_18_06_1913_5_XV_The House by Atholton._26877306.txt,,,None,,,0,,None,10214
