0,1,2,__mappify_error
Yerong Creek Railway Station,LOCATION,18931223-52-71193207 (19 of 19).txt,No match found.
NARRABRI,LOCATION,18931223-52-71193207 (19 of 19).txt,No match found.
Nandewar Ranges,LOCATION,18931223-52-71193207 (19 of 19).txt,No match found.
Epsom,LOCATION,18600128-8-18650885 (1 of 1).txt,No match found.
Indented Heads,LOCATION,18660308-558-147267336 (1 of 2).txt,No match found.
Geelong,LOCATION,18870204-558-150395118 (1 of 1).txt,No match found.
Ballarai,LOCATION,18870204-558-150395118 (1 of 1).txt,No match found.
Geelong,LOCATION,18870204-558-150395118 (1 of 1).txt,No match found.
J.P.,LOCATION,18650325-13-5742893 (1 of 2).txt,No match found.
SOUTH WALES,LOCATION,18840126-232-262613695 (2 of 3).txt,No match found.
Adamstown,LOCATION,18840126-232-262613695 (2 of 3).txt,No match found.
New England,LOCATION,18741218-35-13336814 (1 of 1).txt,No match found.
New England,LOCATION,18741218-35-13336814 (1 of 1).txt,No match found.
Australia,LOCATION,18980204-241-87647802 (1 of 2).txt,No match found.
New Zealand,LOCATION,18980204-241-87647802 (1 of 2).txt,No match found.
Ballarat Hospi,LOCATION,18591209-189-72463698 (1 of 1).txt,No match found.
Queensland,LOCATION,18800114-180-65960545 (1 of 1).txt,No match found.
Sydney,LOCATION,18800114-180-65960545 (1 of 1).txt,No match found.
America,LOCATION,18870122-792-170598464 (1 of 2).txt,No match found.
Geelong,LOCATION,18870122-792-170598464 (1 of 2).txt,No match found.
Nagambie,LOCATION,18870122-792-170598464 (1 of 2).txt,No match found.
Monument Creek,LOCATION,18800113-1324-240933957 (1 of 1).txt,No match found.
Cal,LOCATION,18771110-288-90943697 (1 of 1).txt,No match found.
Goulburn,LOCATION,18600702-35-13042578 (1 of 1).txt,No match found.
Enibley,LOCATION,18961221-346-88994627 (1 of 1).txt,No match found.
Cartridge,LOCATION,18961221-346-88994627 (1 of 1).txt,No match found.
moon,LOCATION,18510331-13-4777002 (2 of 4).txt,No match found.
SOUTH WALES,LOCATION,18910107-30-3139737 (2 of 2).txt,No match found.
Temora,LOCATION,18910107-30-3139737 (2 of 2).txt,No match found.
St. Matthew 's Church of England,LOCATION,18961017-192-72550000 (1 of 1).txt,No match found.
Sydney,LOCATION,18910107-30-3139737 (2 of 2).txt,No match found.
Sydney,LOCATION,18910107-30-3139737 (2 of 2).txt,No match found.
Gundagai,LOCATION,18840307-436-254369580 (1 of 1).txt,No match found.
South Gundagai,LOCATION,18840307-436-254369580 (1 of 1).txt,No match found.
Snowball Creek,LOCATION,18840307-436-254369580 (1 of 1).txt,No match found.
Australia,LOCATION,18570117-13-7143278 (2 of 6).txt,No match found.
Geelong,LOCATION,18600103-189-72464103 (1 of 1).txt,No match found.
Springs,LOCATION,18600103-189-72464103 (1 of 1).txt,No match found.
BATHURST,LOCATION,18881106-35-13702594 (1 of 4).txt,No match found.
Bathurst,LOCATION,18881106-35-13702594 (1 of 4).txt,No match found.
COONABARABRAN,LOCATION,18881106-35-13702594 (1 of 4).txt,No match found.
CJz'jj Creek,LOCATION,18590305-821-158126305 (3 of 6).txt,No match found.
Mc,LOCATION,18871008-460-142445444 (1 of 1).txt,No match found.
Franklin Harbor,LOCATION,18800922-1093-207661195 (1 of 2).txt,No match found.
Victoria,LOCATION,18871008-460-142445444 (1 of 1).txt,No match found.
Great Britain,LOCATION,18871008-460-142445444 (1 of 1).txt,No match found.
Mount Alexander,LOCATION,18650301-13-5739044 (3 of 12).txt,No match found.
Mount,LOCATION,18650301-13-5739044 (3 of 12).txt,No match found.
Junction,LOCATION,18650301-13-5739044 (3 of 12).txt,No match found.
Hobart Town,LOCATION,18750206-232-191558563 (4 of 4).txt,No match found.
Near Glenlyon,LOCATION,18990211-621-221142853 (1 of 2).txt,No match found.
Narandera Hosipital,LOCATION,18980121-436-99971758 (1 of 1).txt,No match found.
Queensland,LOCATION,18881201-698-161888468 (4 of 8).txt,No match found.
Port Elliot,LOCATION,18590212-287-96494945 (3 of 4).txt,No match found.
Bathurst,LOCATION,18720104-8-18760114 (3 of 3).txt,No match found.
Lower River,LOCATION,18720104-8-18760114 (3 of 3).txt,No match found.
Yiotoria,LOCATION,18720104-8-18760114 (3 of 3).txt,No match found.
Pleasant Creek,LOCATION,18720104-8-18760114 (3 of 3).txt,No match found.
Victoria,LOCATION,18720104-8-18760114 (3 of 3).txt,No match found.
Williamstown,LOCATION,18720104-8-18760114 (3 of 3).txt,No match found.
Gunnedah,LOCATION,18840109-232-262612545 (1 of 1).txt,No match found.
River Samoi,LOCATION,18840109-232-262612545 (1 of 1).txt,No match found.
Sydney,LOCATION,18930121-319-198031937 (2 of 4).txt,No match found.
Sydney,LOCATION,18840109-232-262612545 (1 of 1).txt,No match found.
Walb'umliie,LOCATION,18930121-319-198031937 (2 of 4).txt,No match found.
Flcnsar.t Hills,LOCATION,18930121-319-198031937 (2 of 4).txt,No match found.
Dagworth,LOCATION,18700115-8-18742689 (3 of 5).txt,No match found.
Wollombi Range,LOCATION,18700115-8-18742689 (3 of 5).txt,No match found.
Rottnest,LOCATION,18730201-386-114442194 (1 of 1).txt,No match found.
Navlcan,LOCATION,18810122-436-254362257 (1 of 2).txt,No match found.
Hawksview,LOCATION,18810122-436-254362257 (1 of 2).txt,No match found.
Mullengandra,LOCATION,18810122-436-254362257 (1 of 2).txt,No match found.
South Australia,LOCATION,18910228-464-115569494 (1 of 1).txt,No match found.
Australia,LOCATION,18550201-13-4803851 (3 of 7).txt,No match found.
Wilberforce,LOCATION,18970320-192-72551351 (1 of 1).txt,No match found.
St. Matthew 's R.C,LOCATION,18970320-192-72551351 (1 of 1).txt,No match found.
QUEENSLAND,LOCATION,18811026-185-202595080 (1 of 1).txt,No match found.
BRISBANE,LOCATION,18811026-185-202595080 (1 of 1).txt,No match found.
New Zealand,LOCATION,18811026-185-202595080 (1 of 1).txt,No match found.
Bynya Station,LOCATION,18931213-508-112931958 (2 of 5).txt,No match found.
Pleasant Valley,LOCATION,18931213-508-112931958 (2 of 5).txt,No match found.
Murril Creek,LOCATION,18931213-508-112931958 (2 of 5).txt,No match found.
Campbelltown,LOCATION,18931213-650-156674668 (3 of 3).txt,No match found.
Deniliquin,LOCATION,18931213-650-156674668 (3 of 3).txt,No match found.
Bland 's Brook,LOCATION,18620219-180-69136194 (3 of 3).txt,No match found.
Depot Bridge,LOCATION,18620219-180-69136194 (3 of 3).txt,No match found.
Wagga,LOCATION,18840119-240-84701747 (2 of 3).txt,No match found.
Neow South Wales,LOCATION,18840119-240-84701747 (2 of 3).txt,No match found.
Whipatick,LOCATION,18840119-240-84701747 (2 of 3).txt,No match found.
Loliwah,LOCATION,18841113-367-103507757 (1 of 1).txt,No match found.
Paris,LOCATION,18840621-367-103506603 (1 of 1).txt,No match found.
Paris,LOCATION,18840621-367-103506603 (1 of 1).txt,No match found.
Paris,LOCATION,18840621-367-103506603 (1 of 1).txt,No match found.
Paris,LOCATION,18840621-367-103506603 (1 of 1).txt,No match found.
Launceston,LOCATION,18520218-21-2959457 (1 of 2).txt,No match found.
Long Bay,LOCATION,18520218-21-2959457 (1 of 2).txt,No match found.
Germany,LOCATION,18820328-185-200668998 (1 of 2).txt,No match found.
Sydney,LOCATION,18820328-185-200668998 (1 of 2).txt,No match found.
Town Hall,LOCATION,18980312-335-165312245 (2 of 2).txt,No match found.
KEMPSEY,LOCATION,18970227-508-108862190 (1 of 3).txt,No match found.
Yarra River,LOCATION,18861120-1220-234172912 (1 of 1).txt,No match found.
Sci'ton 's Hotel,LOCATION,18550210-170-65718847 (1 of 2).txt,No match found.
Rocky Creek,LOCATION,18720115-67-60880075 (2 of 2).txt,No match found.
Barraba,LOCATION,18720115-67-60880075 (2 of 2).txt,No match found.
Bald Hill,LOCATION,18630106-13-6482437 (1 of 17).txt,No match found.
Brisbane,LOCATION,18751012-1056-212667061 (1 of 1).txt,No match found.
Singapore,LOCATION,18751012-1056-212667061 (1 of 1).txt,No match found.
Brisbane,LOCATION,18751012-1056-212667061 (1 of 1).txt,No match found.
Wccchurob,LOCATION,18751012-1056-212667061 (1 of 1).txt,No match found.
Pcntridgo,LOCATION,18751012-1056-212667061 (1 of 1).txt,No match found.
Cr,LOCATION,18980212-335-165314695 (3 of 3).txt,No match found.
Town Hall,LOCATION,18751012-1056-212667061 (1 of 1).txt,No match found.
Tatooke Estate,LOCATION,18881229-460-142434272 (4 of 6).txt,No match found.
Green-hill Creek,LOCATION,18881229-460-142434272 (4 of 6).txt,No match found.
Sydney,LOCATION,18500215-41-38440554 (2 of 2).txt,No match found.
VWarri River,LOCATION,18740211-366-100844629 (1 of 2).txt,No match found.
Tbwn Hall,LOCATION,18900131-30-3131707 (1 of 3).txt,No match found.
Fremantle,LOCATION,18900131-30-3131707 (1 of 3).txt,No match found.
Sydney,LOCATION,18821213-41-43333585 (1 of 1).txt,No match found.
Temora,LOCATION,18821213-41-43333585 (1 of 1).txt,No match found.
Tamworth,LOCATION,18821213-41-43333585 (1 of 1).txt,No match found.
Queensland,LOCATION,18790208-701-145215536 (2 of 3).txt,No match found.
Cumiamulla,LOCATION,18790208-701-145215536 (2 of 3).txt,No match found.
Georgetown,LOCATION,18790208-701-145215536 (2 of 3).txt,No match found.
Brisbane,LOCATION,18790208-701-145215536 (2 of 3).txt,No match found.
Brisbane,LOCATION,18790208-701-145215536 (2 of 3).txt,No match found.
iSTorth Queens,LOCATION,18710127-558-150655845 (1 of 1).txt,No match found.
Burramundra,LOCATION,18720103-366-100871762 (1 of 2).txt,No match found.
Queens,LOCATION,18920608-180-66306761 (1 of 1).txt,No match found.
Moama,LOCATION,18860112-8-18881661 (5 of 12).txt,No match found.
Warrnambool,LOCATION,18860112-8-18881661 (5 of 12).txt,No match found.
Lake Carteronge,LOCATION,18860112-8-18881661 (5 of 12).txt,No match found.
East Woodford,LOCATION,18860112-8-18881661 (5 of 12).txt,No match found.
Oourt,LOCATION,18980226-821-162389589 (3 of 3).txt,No match found.
Australia,LOCATION,18540204-821-158096337 (2 of 6).txt,No match found.
Warrnarnbool,LOCATION,18980226-821-162389589 (3 of 3).txt,No match found.
Sydney,LOCATION,18971204-192-72553595 (2 of 2).txt,No match found.
Hunter River,LOCATION,18971204-192-72553595 (2 of 2).txt,No match found.
Ferry Road,LOCATION,18971204-192-72553595 (2 of 2).txt,No match found.
Queensland,LOCATION,18971204-192-72553595 (2 of 2).txt,No match found.
Paradise Point,LOCATION,18971204-192-72553595 (2 of 2).txt,No match found.
Cape L'Agulhas,LOCATION,18710610-698-164372088 (1 of 3).txt,No match found.
Black Hill,LOCATION,18990114-1324-240975936 (2 of 3).txt,No match found.
Geelone,LOCATION,18820310-185-200667983 (1 of 1).txt,No match found.
America,LOCATION,18930411-398-108450042 (1 of 1).txt,No match found.
Yarra River,LOCATION,18860906-108-62273844 (1 of 1).txt,No match found.
SOUTH WALES,LOCATION,18590316-7-790406 (1 of 1).txt,No match found.
Sydney,LOCATION,18590316-7-790406 (1 of 1).txt,No match found.
South Australia,LOCATION,18590316-7-790406 (1 of 1).txt,No match found.
Mount Barker,LOCATION,18500131-41-38445956 (1 of 1).txt,No match found.
Cooroonboon,LOCATION,18641224-287-92260907 (1 of 1).txt,No match found.
Warbreccan,LOCATION,18641224-287-92260907 (1 of 1).txt,No match found.
Bullarook Forest,LOCATION,18650325-103-63169589 (3 of 22).txt,No match found.
Beau,LOCATION,18750126-74-52897349 (3 of 4).txt,No match found.
Torpicllen,LOCATION,18750126-74-52897349 (3 of 4).txt,No match found.
Mount Macedon,LOCATION,18750126-74-52897349 (3 of 4).txt,No match found.
Ten Mile Creek,LOCATION,18691225-697-166807743 (1 of 2).txt,No match found.
Riverina,LOCATION,18920123-701-145529038 (1 of 5).txt,No match found.
Murray Valley,LOCATION,18920123-701-145529038 (1 of 5).txt,No match found.
Dandenong Creek,LOCATION,18920123-701-145529038 (1 of 5).txt,No match found.
Corhanwarabal Mountains,LOCATION,18920123-701-145529038 (1 of 5).txt,No match found.
Monbolk Creek,LOCATION,18920123-701-145529038 (1 of 5).txt,No match found.
Dandenong Creek,LOCATION,18920123-701-145529038 (1 of 5).txt,No match found.
Dandenong,LOCATION,18920123-701-145529038 (1 of 5).txt,No match found.
Emu Plains,LOCATION,18820106-13-11528602 (1 of 1).txt,No match found.
GOUL BURN,LOCATION,18950914-52-71222902 (8 of 21).txt,No match found.
Sydney,LOCATION,18950914-52-71222902 (8 of 21).txt,No match found.
NEW SOUTH WALES,LOCATION,18840112-821-160092045 (1 of 2).txt,No match found.
Sydney,LOCATION,18840112-821-160092045 (1 of 2).txt,No match found.
Sydney,LOCATION,18840112-821-160092045 (1 of 2).txt,No match found.
Sydney,LOCATION,18840112-821-160092045 (1 of 2).txt,No match found.
North Coast,LOCATION,18950909-508-109878808 (1 of 8).txt,No match found.
Phoenix,LOCATION,18950909-508-109878808 (1 of 8).txt,No match found.
Numbugga,LOCATION,18950909-508-109878808 (1 of 8).txt,No match found.
Qippaland,LOCATION,18790114-185-199347171 (1 of 1).txt,No match found.
Creek,LOCATION,18650414-35-13103165 (1 of 2).txt,No match found.
Carpentaria,LOCATION,18650414-35-13103165 (1 of 2).txt,No match found.
Dunedin,LOCATION,18650414-35-13103165 (1 of 2).txt,No match found.
Creek,LOCATION,18730326-412-104119579 (1 of 1).txt,No match found.
Warrnambool,LOCATION,18650414-35-13103165 (1 of 2).txt,No match found.
Wagga,LOCATION,18730326-412-104119579 (1 of 1).txt,No match found.
Creek,LOCATION,18790221-582-198858338 (5 of 5).txt,No match found.
Nerande'ra,LOCATION,18730326-412-104119579 (1 of 1).txt,No match found.
Creek,LOCATION,18790221-582-198858338 (5 of 5).txt,No match found.
South,LOCATION,18790131-185-199347622 (4 of 5).txt,No match found.
Invercargill,LOCATION,18880915-460-142430578 (1 of 1).txt,No match found.
Dunedin,LOCATION,18880915-460-142430578 (1 of 1).txt,No match found.
J.P.,LOCATION,18720308-41-39272332 (1 of 1).txt,No match found.
Coorong,LOCATION,18720308-41-39272332 (1 of 1).txt,No match found.
Narracoorte,LOCATION,18720308-41-39272332 (1 of 1).txt,No match found.
Dogtrap Road,LOCATION,18680101-35-28608664 (4 of 6).txt,No match found.
Wales,LOCATION,18881120-8-18966369 (1 of 1).txt,No match found.
Town Hall,LOCATION,18881120-8-18966369 (1 of 1).txt,No match found.
Waogaratta,LOCATION,18991227-34-29525093 (4 of 5).txt,No match found.
Banley,LOCATION,18991227-34-29525093 (4 of 5).txt,No match found.
Leongetha,LOCATION,18980120-30-3193092 (4 of 4).txt,No match found.
White Horse Reef,LOCATION,18630103-582-200379450 (3 of 3).txt,No match found.
Wales,LOCATION,18940908-368-98512643 (1 of 1).txt,No match found.
Amherst,LOCATION,18630103-582-200379450 (3 of 3).txt,No match found.
Blowly,LOCATION,18890119-52-71114066 (2 of 2).txt,No match found.
Gerringong,LOCATION,18890119-52-71114066 (2 of 2).txt,No match found.
Pall Mall,LOCATION,18650307-10-8831483 (2 of 5).txt,No match found.
Upper Sheepwash,LOCATION,18650307-10-8831483 (2 of 5).txt,No match found.
Leanribrith,LOCATION,18780119-185-199283653 (1 of 1).txt,No match found.
Buninyong,LOCATION,18780119-185-199283653 (1 of 1).txt,No match found.
BINGERA,LOCATION,18880204-698-164361803 (1 of 3).txt,No match found.
Bingera,LOCATION,18880204-698-164361803 (1 of 3).txt,No match found.
BLAYKEY,LOCATION,18880204-698-164361803 (1 of 3).txt,No match found.
Manchester,LOCATION,18880204-698-164361803 (1 of 3).txt,No match found.
Shire Hall,LOCATION,18860227-43-22097327 (1 of 3).txt,No match found.
Sydney,LOCATION,18880204-698-164361803 (1 of 3).txt,No match found.
Warrnambool,LOCATION,18860227-43-22097327 (1 of 3).txt,No match found.
Station Field,LOCATION,18680111-42-20316878 (2 of 3).txt,No match found.
T.K,LOCATION,18680111-42-20316878 (2 of 3).txt,No match found.
Creek,LOCATION,18800203-487-127643708 (1 of 2).txt,No match found.
Mount Ducinbin,LOCATION,18680111-42-20316878 (2 of 3).txt,No match found.
Bullock Creek,LOCATION,18650318-103-63170016 (8 of 23).txt,No match found.
Glen Athos,LOCATION,18990304-647-155447655 (1 of 1).txt,No match found.
Porepunkah,LOCATION,18810122-326-201540521 (1 of 1).txt,No match found.
Oxley Plains,LOCATION,18810122-326-201540521 (1 of 1).txt,No match found.
Ovens River,LOCATION,18810122-326-201540521 (1 of 1).txt,No match found.
Osage,LOCATION,18670503-28-3749440 (2 of 3).txt,No match found.
Osage,LOCATION,18670503-28-3749440 (2 of 3).txt,No match found.
Victoria,LOCATION,18670503-28-3749440 (2 of 3).txt,No match found.
America,LOCATION,18670503-28-3749440 (2 of 3).txt,No match found.
Brisbane Hill,LOCATION,18730219-567-194846518 (2 of 2).txt,No match found.
Gippsland,LOCATION,18980121-1269-233291167 (1 of 1).txt,No match found.
Straits,LOCATION,18980121-1269-233291167 (1 of 1).txt,No match found.
Goulburn,LOCATION,18860112-346-88538228 (1 of 1).txt,No match found.
Northern Tasmania,LOCATION,18980121-1269-233291167 (1 of 1).txt,No match found.
Lieu,LOCATION,18820401-41-47108859 (5 of 5).txt,No match found.
Victoria,LOCATION,18800124-621-221760995 (1 of 1).txt,No match found.
Murray Valley,LOCATION,18800124-621-221760995 (1 of 1).txt,No match found.
SOUTH WALES,LOCATION,18820125-185-200665460 (1 of 1).txt,No match found.
SYDNEY,LOCATION,18820125-185-200665460 (1 of 1).txt,No match found.
New South Wales,LOCATION,18820125-185-200665460 (1 of 1).txt,No match found.
Tamworlh,LOCATION,18820125-185-200665460 (1 of 1).txt,No match found.
Northumberland,LOCATION,18820125-185-200665460 (1 of 1).txt,No match found.
Parramatta,LOCATION,18820125-185-200665460 (1 of 1).txt,No match found.
Gundagai,LOCATION,18770217-698-162682293 (2 of 2).txt,No match found.
Tragowel plains,LOCATION,18810111-346-88641462 (1 of 1).txt,No match found.
Lower Blackwood,LOCATION,18940215-819-157520138 (2 of 2).txt,No match found.
Dudenallup,LOCATION,18940215-819-157520138 (2 of 2).txt,No match found.
Melbourne General Cemetery,LOCATION,18851121-460-138639695 (1 of 2).txt,No match found.
St. John 's Brook,LOCATION,18940215-819-157520138 (2 of 2).txt,No match found.
Glenpedder,LOCATION,18890202-246-89685363 (3 of 3).txt,No match found.
Mount Blackwood,LOCATION,18890202-246-89685363 (3 of 3).txt,No match found.
Shaw River,LOCATION,18960208-621-221175349 (1 of 4).txt,No match found.
Ulambri Plains,LOCATION,18931221-8-19029758 (1 of 1).txt,No match found.
Coolcappa,LOCATION,18931221-8-19029758 (1 of 1).txt,No match found.
Castlereagh,LOCATION,18750206-698-162491882 (1 of 1).txt,No match found.
Upper Bogan,LOCATION,18750206-698-162491882 (1 of 1).txt,No match found.
Bench,LOCATION,18851205-698-162818555 (1 of 1).txt,No match found.
Cocketgedong,LOCATION,18851205-698-162818555 (1 of 1).txt,No match found.
Berrembed,LOCATION,18720313-412-104089324 (6 of 6).txt,No match found.
Narandera,LOCATION,18720313-412-104089324 (6 of 6).txt,No match found.
Shark 's Bay,LOCATION,18620327-74-41452235 (1 of 1).txt,No match found.
Brisbane Hill,LOCATION,18730225-326-197047738 (1 of 1).txt,No match found.
New Zealand,LOCATION,18980119-367-114429395 (2 of 2).txt,No match found.
Quirindi,LOCATION,18980119-367-114429395 (2 of 2).txt,No match found.
New Zealand,LOCATION,18980119-367-114429395 (2 of 2).txt,No match found.
N.Z,LOCATION,18980119-367-114429395 (2 of 2).txt,No match found.
lHaumer Plains,LOCATION,18980119-367-114429395 (2 of 2).txt,No match found.
Welbeck Abbey,LOCATION,18960118-698-162826835 (1 of 1).txt,No match found.
Gippsland,LOCATION,18960118-698-162826835 (1 of 1).txt,No match found.
Melbourne Gaol,LOCATION,18960118-698-162826835 (1 of 1).txt,No match found.
Riverina,LOCATION,18880120-436-254575473 (1 of 2).txt,No match found.
Australia,LOCATION,18880120-436-254575473 (1 of 2).txt,No match found.
Bon Marche,LOCATION,18880120-436-254575473 (1 of 2).txt,No match found.
Barnawartha,LOCATION,18880120-436-254575473 (1 of 2).txt,No match found.
Willochra,LOCATION,18820311-289-91289931 (3 of 4).txt,No match found.
Beautiful Valley,LOCATION,18820311-289-91289931 (3 of 4).txt,No match found.
Barunga,LOCATION,18820311-289-91289931 (3 of 4).txt,No match found.
Crystal Brooki,LOCATION,18820311-289-91289931 (3 of 4).txt,No match found.
Mnryboiou,LOCATION,18651215-484-109909424 (3 of 3).txt,No match found.
BO,LOCATION,18770210-460-142997021 (1 of 1).txt,No match found.
Cooktown,LOCATION,18771114-835-169859409 (1 of 1).txt,No match found.
California,LOCATION,18771114-835-169859409 (1 of 1).txt,No match found.
QUEENSLAND,LOCATION,18981101-966-199944705 (1 of 1).txt,No match found.
Brisbane,LOCATION,18981101-966-199944705 (1 of 1).txt,No match found.
HAWKESBURY,LOCATION,18950906-1069-213443708 (1 of 3).txt,No match found.
Sydney,LOCATION,18950906-1069-213443708 (1 of 3).txt,No match found.
Mildura,LOCATION,18950906-1069-213443708 (1 of 3).txt,No match found.
VICTORIA,LOCATION,18980124-41-54523843 (1 of 1).txt,No match found.
Sydney,LOCATION,18980124-41-54523843 (1 of 1).txt,No match found.
New Guinea,LOCATION,18980124-41-54523843 (1 of 1).txt,No match found.
Ilis,LOCATION,18891130-240-84688859 (4 of 4).txt,No match found.
Richmond River,LOCATION,18950315-135-59340920 (1 of 1).txt,No match found.
Kangaroo Island,LOCATION,18550524-13-4808560 (4 of 4).txt,No match found.
South Australia,LOCATION,18551126-35-12975196 (2 of 7).txt,No match found.
Port Curtis,LOCATION,18551126-35-12975196 (2 of 7).txt,No match found.
DJIAYTON,LOCATION,18850620-8-18878478 (1 of 1).txt,No match found.
Weribone,LOCATION,18850620-8-18878478 (1 of 1).txt,No match found.
Balonne,LOCATION,18850620-8-18878478 (1 of 1).txt,No match found.
STANTIIOHPE,LOCATION,18850620-8-18878478 (1 of 1).txt,No match found.
Native Creek,LOCATION,18630110-319-197290636 (17 of 21).txt,No match found.
East Trentham,LOCATION,18750125-809-202134431 (6 of 9).txt,No match found.
Bhado,LOCATION,18580130-809-154856828 (3 of 3).txt,No match found.
Singapore,LOCATION,18480126-181-65770755 (1 of 2).txt,No match found.
MORTJYA,LOCATION,18840105-698-164383093 (3 of 4).txt,No match found.
Lower Goulburn,LOCATION,18650302-74-38658298 (3 of 6).txt,No match found.
Glonelg,LOCATION,18911228-1190-241558177 (1 of 1).txt,No match found.
Moscow,LOCATION,18911228-1190-241558177 (1 of 1).txt,No match found.
St Petersburg,LOCATION,18911228-1190-241558177 (1 of 1).txt,No match found.
United States,LOCATION,18911228-1190-241558177 (1 of 1).txt,No match found.
Namndem,LOCATION,18911228-1190-241558177 (1 of 1).txt,No match found.
Jerilderie,LOCATION,18911228-1190-241558177 (1 of 1).txt,No match found.
New South Wales,LOCATION,18911228-1190-241558177 (1 of 1).txt,No match found.
Prince 's,LOCATION,18911228-1190-241558177 (1 of 1).txt,No match found.
Flind,LOCATION,18911228-1190-241558177 (1 of 1).txt,No match found.
Sydney,LOCATION,18360123-95-32150577 (1 of 1).txt,No match found.
Wurtem,LOCATION,18650306-13-5736665 (1 of 1).txt,No match found.
Sydney,LOCATION,18650306-13-5736665 (1 of 1).txt,No match found.
