,0,1,2,mappify_suburb,mappify_state,mappify_location_lat,mappify_location_lon,partial ratio
68,MARYBOROUGH,LOCATION,18870122-792-170598464 (1 of 2).txt,MARYBOROUGH,VIC,-37.01051733,143.7563917,100
69,ROCHESTER,LOCATION,18750612-319-197934039 (1 of 2).txt,ROCHESTER,SA,-33.705742,138.485887,100
70,ROCHFORD,LOCATION,18800113-1324-240933957 (1 of 1).txt,ROCHFORD,VIC,-37.30268273,144.6871647,100
71,MOORA,LOCATION,18961221-346-88994627 (1 of 1).txt,MOORA,WA,-30.63824592,115.9972632,100
73,MOORA,LOCATION,18961221-346-88994627 (1 of 1).txt,MOORA,WA,-30.63824592,115.9972632,100
74,HAMILTON,LOCATION,18790109-567-226064615 (2 of 3).txt,HAMILTON,VIC,-37.7622476,142.0785145,100
77,DUBBO,LOCATION,18950122-492-121316350 (1 of 1).txt,DUBBO,NSW,-32.37824209,148.6914051,100
78,DUBBO,LOCATION,18950122-492-121316350 (1 of 1).txt,DUBBO,NSW,-32.37824209,148.6914051,100
80,WINDSOR,LOCATION,18961017-192-72550000 (1 of 1).txt,WINDSOR,SA,-34.43202712,138.3667316,100
81,WINDSOR,LOCATION,18961017-192-72550000 (1 of 1).txt,WINDSOR,SA,-34.43202712,138.3667316,100
83,ALBANY,LOCATION,18910107-30-3139737 (2 of 2).txt,ALBANY,WA,-35.02040905,117.8823542,100
84,SEYMOUR,LOCATION,18840307-436-254369580 (1 of 1).txt,SEYMOUR,VIC,-36.99473052,145.1577674,100
85,ALBION,LOCATION,18960107-185-203768628 (2 of 4).txt,ALBION,QLD,-27.43019253,153.0413161,100
86,OAKS,LOCATION,18881013-289-94767470 (3 of 4).txt,OAKS,TAS,-41.5689314,146.993577,100
90,AUSTRA,LOCATION,18800731-288-94753301 (1 of 1).txt,CASTRA,TAS,-41.29075437,146.135873,91
91,SANDHURST,LOCATION,18820124-13-11530073 (1 of 1).txt,SANDHURST,VIC,-38.08599133,145.2095392,100
92,MELBOURNE,LOCATION,18600103-189-72464103 (1 of 1).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
93,MELBOURNE,LOCATION,18600103-189-72464103 (1 of 1).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
94,BRIGHTON,LOCATION,18600103-189-72464103 (1 of 1).txt,BRIGHTON,SA,-35.01643158,138.5236609,100
95,SUNBURY,LOCATION,18600103-189-72464103 (1 of 1).txt,SUNBURY,VIC,-37.61067165,144.7755032,100
