0,1,2,mappify_buildingName,mappify_numberFirst,mappify_numberFirstPrefix,mappify_numberFirstSuffix,mappify_numberLast,mappify_numberLastPrefix,mappify_numberLastSuffix,mappify_streetName,mappify_streetType,mappify_streetSuffixCode,mappify_suburb,mappify_state,mappify_postCode,mappify_location_lat,mappify_location_lon,mappify_streetAddress
Port Albert,LOCATION,18600128-8-18650885 (1 of 1).txt,null,159,null,null,null,null,null,PORT ALBERT-TARRAVILLE,ROAD,null,PORT ALBERT,VIC,3971,-38.65290554,146.6969286,"159 PORT ALBERT-TARRAVILLE ROAD, PORT ALBERT VIC 3971"
Wambo Vale,LOCATION,18600128-8-18650885 (1 of 1).txt,null,204,null,null,null,null,null,WANDO VALE TOWNSHIP,ROAD,null,WANDO VALE,VIC,3312,-37.50038984,141.4674277,"204 WANDO VALE TOWNSHIP ROAD, WANDO VALE VIC 3312"
Bendigo,LOCATION,18600128-8-18650885 (1 of 1).txt,BENDIGO MARKETPLACE,1,null,null,null,null,null,BENDIGO MARKETPLACE,null,null,BENDIGO,VIC,3550,-36.76552472,144.280931,"BENDIGO MARKETPLACE, 1 BENDIGO MARKETPLACE, BENDIGO VIC 3550"
Cornwall,LOCATION,18600128-8-18650885 (1 of 1).txt,null,null,null,null,null,null,null,CORNWALL,ROAD,null,CORNWALL,QLD,4455,-26.14443471,148.481544,"CORNWALL ROAD, CORNWALL QLD 4455"
Cornwall,LOCATION,18600128-8-18650885 (1 of 1).txt,null,null,null,null,null,null,null,CORNWALL,ROAD,null,CORNWALL,QLD,4455,-26.14443471,148.481544,"CORNWALL ROAD, CORNWALL QLD 4455"
England,LOCATION,18660308-558-147267336 (1 of 2).txt,KYONG STATION,null,null,null,null,null,null,PENTLAND ARAMAC,ROAD,null,PENTLAND,QLD,4816,-21.78924202,145.9321506,"KYONG STATION, PENTLAND ARAMAC ROAD, PENTLAND QLD 4816"
Ballarat,LOCATION,18870204-558-150395118 (1 of 1).txt,null,148,null,null,null,null,null,BELLARA,STREET,null,BELLARA,QLD,4507,-27.0593373,153.1531408,"148 BELLARA STREET, BELLARA QLD 4507"
Melbourne,LOCATION,18870204-558-150395118 (1 of 1).txt,null,6,null,null,null,null,null,MELBOURNE,PLACE,null,MELBOURNE,VIC,3000,-37.81351305,144.9690825,"6 MELBOURNE PLACE, MELBOURNE VIC 3000"
Melbourne,LOCATION,18870204-558-150395118 (1 of 1).txt,null,6,null,null,null,null,null,MELBOURNE,PLACE,null,MELBOURNE,VIC,3000,-37.81351305,144.9690825,"6 MELBOURNE PLACE, MELBOURNE VIC 3000"
Ballarat,LOCATION,18870204-558-150395118 (1 of 1).txt,null,148,null,null,null,null,null,BELLARA,STREET,null,BELLARA,QLD,4507,-27.0593373,153.1531408,"148 BELLARA STREET, BELLARA QLD 4507"
Ballarat,LOCATION,18650325-13-5742893 (1 of 2).txt,null,148,null,null,null,null,null,BELLARA,STREET,null,BELLARA,QLD,4507,-27.0593373,153.1531408,"148 BELLARA STREET, BELLARA QLD 4507"
Chewton,LOCATION,18650325-13-5742893 (1 of 2).txt,null,306,null,null,null,null,null,VAUGHAN-CHEWTON,ROAD,null,CHEWTON,VIC,3451,-37.10655654,144.2528999,"306 VAUGHAN-CHEWTON ROAD, CHEWTON VIC 3451"
Beechworth,LOCATION,18650325-13-5742893 (1 of 2).txt,null,243,null,null,null,null,null,BEECHWORTH-WODONGA,ROAD,null,BEECHWORTH,VIC,3747,-36.34129804,146.6902532,"243 BEECHWORTH-WODONGA ROAD, BEECHWORTH VIC 3747"
Cbarleitown,LOCATION,18840126-232-262613695 (2 of 3).txt,null,175,null,null,null,null,null,CHARLESTOWN,ROAD,null,CHARLESTOWN,NSW,2290,-32.95138651,151.6864141,"175 CHARLESTOWN ROAD, CHARLESTOWN NSW 2290"
England,LOCATION,18741218-35-13336814 (1 of 1).txt,KYONG STATION,null,null,null,null,null,null,PENTLAND ARAMAC,ROAD,null,PENTLAND,QLD,4816,-21.78924202,145.9321506,"KYONG STATION, PENTLAND ARAMAC ROAD, PENTLAND QLD 4816"
Beech Forest,LOCATION,18980204-241-87647802 (1 of 2).txt,null,700,null,null,null,null,null,OLD BEECH FOREST,ROAD,null,BEECH FOREST,VIC,3237,-38.58628994,143.5662163,"700 OLD BEECH FOREST ROAD, BEECH FOREST VIC 3237"
Orient,LOCATION,18800114-180-65960545 (1 of 1).txt,null,null,null,null,null,null,null,ORIENT,ROAD,null,ORIENT,QLD,4850,-18.84822257,146.2632993,"ORIENT ROAD, ORIENT QLD 4850"
Adelaide,LOCATION,18800114-180-65960545 (1 of 1).txt,null,149,null,null,null,null,null,ADELAIDE,ARCADE,null,ADELAIDE,SA,5000,-34.92373985,138.6038839,"149 ADELAIDE ARCADE, ADELAIDE SA 5000"
Adelaide,LOCATION,18800114-180-65960545 (1 of 1).txt,null,149,null,null,null,null,null,ADELAIDE,ARCADE,null,ADELAIDE,SA,5000,-34.92373985,138.6038839,"149 ADELAIDE ARCADE, ADELAIDE SA 5000"
Melbourne,LOCATION,18800114-180-65960545 (1 of 1).txt,null,6,null,null,null,null,null,MELBOURNE,PLACE,null,MELBOURNE,VIC,3000,-37.81351305,144.9690825,"6 MELBOURNE PLACE, MELBOURNE VIC 3000"
Adelaide,LOCATION,18800114-180-65960545 (1 of 1).txt,null,149,null,null,null,null,null,ADELAIDE,ARCADE,null,ADELAIDE,SA,5000,-34.92373985,138.6038839,"149 ADELAIDE ARCADE, ADELAIDE SA 5000"
Melbourne,LOCATION,18800114-180-65960545 (1 of 1).txt,null,6,null,null,null,null,null,MELBOURNE,PLACE,null,MELBOURNE,VIC,3000,-37.81351305,144.9690825,"6 MELBOURNE PLACE, MELBOURNE VIC 3000"
Locksley,LOCATION,18870122-792-170598464 (1 of 2).txt,ADONVILLE,136,null,null,null,null,null,LOCKSLEY STATION,ROAD,null,LOCKSLEY,NSW,2795,-33.52404306,149.7830826,"ADONVILLE, 136 LOCKSLEY STATION ROAD, LOCKSLEY NSW 2795"
Cape Otway,LOCATION,18870122-792-170598464 (1 of 2).txt,null,6,null,null,null,null,null,OTWAY,PARK,null,CAPE OTWAY,VIC,3233,-38.83503627,143.5302245,"6 OTWAY PARK, CAPE OTWAY VIC 3233"
Maryborough,LOCATION,18870122-792-170598464 (1 of 2).txt,null,154,null,null,null,null,null,MARYBOROUGH-DUNOLLY,ROAD,null,MARYBOROUGH,VIC,3465,-37.01051733,143.7563917,"154 MARYBOROUGH-DUNOLLY ROAD, MARYBOROUGH VIC 3465"
Avenel,LOCATION,18870122-792-170598464 (1 of 2).txt,null,null,null,null,null,null,null,AVENEL-LONGWOOD,ROAD,null,AVENEL,VIC,3664,-36.874324,145.2524144,"AVENEL-LONGWOOD ROAD, AVENEL VIC 3664"
Maryborough,LOCATION,18870122-792-170598464 (1 of 2).txt,null,154,null,null,null,null,null,MARYBOROUGH-DUNOLLY,ROAD,null,MARYBOROUGH,VIC,3465,-37.01051733,143.7563917,"154 MARYBOROUGH-DUNOLLY ROAD, MARYBOROUGH VIC 3465"
Rochester,LOCATION,18750612-319-197934039 (1 of 2).txt,null,260,null,null,null,null,null,ROCHESTER,ROAD,null,ROCHESTER,SA,5464,-33.705742,138.485887,"260 ROCHESTER ROAD, ROCHESTER SA 5464"
Rochford,LOCATION,18800113-1324-240933957 (1 of 1).txt,null,351,null,null,null,null,null,ROCHFORD,ROAD,null,ROCHFORD,VIC,3442,-37.30268273,144.6871647,"351 ROCHFORD ROAD, ROCHFORD VIC 3442"
MOORA,LOCATION,18961221-346-88994627 (1 of 1).txt,null,null,null,null,null,null,null,MOORE,STREET,null,MOORA,WA,6510,-30.63824592,115.9972632,"MOORE STREET, MOORA WA 6510"
KLMOKE,LOCATION,18961221-346-88994627 (1 of 1).txt,null,165,null,null,null,null,null,KILMORE-LANCEFIELD,ROAD,null,KILMORE,VIC,3764,-37.29427363,144.9338648,"165 KILMORE-LANCEFIELD ROAD, KILMORE VIC 3764"
Moora,LOCATION,18961221-346-88994627 (1 of 1).txt,null,null,null,null,null,null,null,MOORE,STREET,null,MOORA,WA,6510,-30.63824592,115.9972632,"MOORE STREET, MOORA WA 6510"
Hamilton,LOCATION,18790109-567-226064615 (2 of 3).txt,null,8049,null,null,null,null,null,HAMILTON,HIGHWAY,null,HAMILTON,VIC,3300,-37.7622476,142.0785145,"8049 HAMILTON HIGHWAY, HAMILTON VIC 3300"
Bsanxholhe,LOCATION,18790109-567-226064615 (2 of 3).txt,null,164,null,null,null,null,null,BRANXHOLME-WALLACEDALE,ROAD,null,BRANXHOLME,VIC,3302,-37.8793054,141.8085506,"164 BRANXHOLME-WALLACEDALE ROAD, BRANXHOLME VIC 3302"
Isle,LOCATION,18510331-13-4777002 (2 of 4).txt,null,null,null,null,null,null,null,ISLA DELUSION,ROAD,null,ISLA,QLD,4719,-25.1444269,150.0570876,"ISLA DELUSION ROAD, ISLA QLD 4719"
Dubbo,LOCATION,18950122-492-121316350 (1 of 1).txt,null,149,null,null,null,null,null,OLD DUBBO,ROAD,null,DUBBO,NSW,2830,-32.37824209,148.6914051,"149 OLD DUBBO ROAD, DUBBO NSW 2830"
Dubbo,LOCATION,18950122-492-121316350 (1 of 1).txt,null,149,null,null,null,null,null,OLD DUBBO,ROAD,null,DUBBO,NSW,2830,-32.37824209,148.6914051,"149 OLD DUBBO ROAD, DUBBO NSW 2830"
Egremont,LOCATION,18510331-13-4777002 (2 of 4).txt,null,6,null,null,null,null,null,EAGLEMONT,CRESCENT,null,EAGLEMONT,VIC,3084,-37.764854,145.058312,"6 EAGLEMONT CRESCENT, EAGLEMONT VIC 3084"
Windsor,LOCATION,18961017-192-72550000 (1 of 1).txt,null,null,null,null,null,null,null,WINDSOR,ROAD,null,WINDSOR,SA,5501,-34.43202712,138.3667316,"WINDSOR ROAD, WINDSOR SA 5501"
Windsor,LOCATION,18961017-192-72550000 (1 of 1).txt,null,null,null,null,null,null,null,WINDSOR,ROAD,null,WINDSOR,SA,5501,-34.43202712,138.3667316,"WINDSOR ROAD, WINDSOR SA 5501"
Newcastle,LOCATION,18910107-30-3139737 (2 of 2).txt,null,null,null,null,null,null,null,REDCASTLE CEMETERY,ROAD,null,REDCASTLE,VIC,3523,-36.7923363,144.7858251,"REDCASTLE CEMETERY ROAD, REDCASTLE VIC 3523"
ALBANY,LOCATION,18910107-30-3139737 (2 of 2).txt,null,3,null,null,null,null,null,ALBANY,HIGHWAY,null,ALBANY,WA,6330,-35.02040905,117.8823542,"3 ALBANY HIGHWAY, ALBANY WA 6330"
Seymour,LOCATION,18840307-436-254369580 (1 of 1).txt,null,150,null,null,null,null,null,SEYMOUR-AVENEL,ROAD,null,SEYMOUR,VIC,3660,-36.99473052,145.1577674,"150 SEYMOUR-AVENEL ROAD, SEYMOUR VIC 3660"
Albion,LOCATION,18960107-185-203768628 (2 of 4).txt,null,10,null,null,null,null,null,ALBION,ROAD,null,ALBION,QLD,4010,-27.43019253,153.0413161,"10 ALBION ROAD, ALBION QLD 4010"
Oaks,LOCATION,18881013-289-94767470 (3 of 4).txt,null,435,null,null,null,null,null,OAKS,ROAD,null,OAKS,TAS,7303,-41.5689314,146.993577,"435 OAKS ROAD, OAKS TAS 7303"
Picton,LOCATION,18881013-289-94767470 (3 of 4).txt,null,null,null,null,null,null,null,PICTON,ROAD,null,WILTON,NSW,2571,-34.24531162,150.6991925,"PICTON ROAD, WILTON NSW 2571"
Werombl,LOCATION,18881013-289-94767470 (3 of 4).txt,null,672,null,null,null,null,null,WEROMBI,ROAD,null,WEROMBI,NSW,2570,-33.98423404,150.5951071,"672 WEROMBI ROAD, WEROMBI NSW 2570"
Camden,LOCATION,18881013-289-94767470 (3 of 4).txt,null,187,null,null,null,null,null,CADDENS,ROAD,null,CADDENS,NSW,2747,-33.77412823,150.7380085,"187 CADDENS ROAD, CADDENS NSW 2747"
Austra,LOCATION,18800731-288-94753301 (1 of 1).txt,null,1620,null,null,null,null,null,CASTRA,ROAD,null,CASTRA,TAS,7315,-41.29075437,146.135873,"1620 CASTRA ROAD, CASTRA TAS 7315"
Sandhurst,LOCATION,18820124-13-11530073 (1 of 1).txt,null,148,null,null,null,null,null,SANDHURST,BOULEVARD,null,SANDHURST,VIC,3977,-38.08599133,145.2095392,"148 SANDHURST BOULEVARD, SANDHURST VIC 3977"
Melbourne,LOCATION,18600103-189-72464103 (1 of 1).txt,null,6,null,null,null,null,null,MELBOURNE,PLACE,null,MELBOURNE,VIC,3000,-37.81351305,144.9690825,"6 MELBOURNE PLACE, MELBOURNE VIC 3000"
Melbourne,LOCATION,18600103-189-72464103 (1 of 1).txt,null,6,null,null,null,null,null,MELBOURNE,PLACE,null,MELBOURNE,VIC,3000,-37.81351305,144.9690825,"6 MELBOURNE PLACE, MELBOURNE VIC 3000"
Brighton,LOCATION,18600103-189-72464103 (1 of 1).txt,null,null,null,null,null,null,null,BRIGHTON,ROAD,null,BRIGHTON,SA,5048,-35.01643158,138.5236609,"BRIGHTON ROAD, BRIGHTON SA 5048"
Sunbury,LOCATION,18600103-189-72464103 (1 of 1).txt,null,605,null,null,null,null,null,SUNBURY,ROAD,null,SUNBURY,VIC,3429,-37.61067165,144.7755032,"605 SUNBURY ROAD, SUNBURY VIC 3429"
Bay,LOCATION,18600103-189-72464103 (1 of 1).txt,null,206,null,null,null,null,null,DUNERA,WAY,null,HAY,NSW,2711,-34.49820018,144.8313915,"206 DUNERA WAY, HAY NSW 2711"
CAMDEN,LOCATION,18881106-35-13702594 (1 of 4).txt,null,187,null,null,null,null,null,CADDENS,ROAD,null,CADDENS,NSW,2747,-33.77412823,150.7380085,"187 CADDENS ROAD, CADDENS NSW 2747"
Camden,LOCATION,18881106-35-13702594 (1 of 4).txt,null,187,null,null,null,null,null,CADDENS,ROAD,null,CADDENS,NSW,2747,-33.77412823,150.7380085,"187 CADDENS ROAD, CADDENS NSW 2747"
Vasse,LOCATION,18750216-29-2973699 (1 of 1).txt,null,106,null,null,null,null,null,VASSE-YALLINGUP SIDING,ROAD,null,VASSE,WA,6280,-33.67781131,115.2352321,"106 VASSE-YALLINGUP SIDING ROAD, VASSE WA 6280"
Bay,LOCATION,18750216-29-2973699 (1 of 1).txt,null,206,null,null,null,null,null,DUNERA,WAY,null,HAY,NSW,2711,-34.49820018,144.8313915,"206 DUNERA WAY, HAY NSW 2711"
Penola,LOCATION,18750206-232-191558563 (4 of 4).txt,null,null,null,null,null,null,null,BENOWA,ROAD,null,BENOWA,QLD,4217,-28.01646043,153.3882932,"BENOWA ROAD, BENOWA QLD 4217"
