0,1,2
Service,ORGANIZATION,18970223-506-120774816.txt
Board,ORGANIZATION,18970223-506-120774816.txt
Public,ORGANIZATION,18970223-506-120774816.txt
Service,ORGANIZATION,18970223-506-120774816.txt
Board,ORGANIZATION,18970223-506-120774816.txt
Bei,PERSON,18701005-35-13212305.txt
Wallaby,PERSON,18701005-35-13212305.txt
Hocks,PERSON,18701005-35-13212305.txt
Eucalyptus,ORGANIZATION,18701005-35-13212305.txt
Camden,LOCATION,18701005-35-13212305.txt
Anglican,ORGANIZATION,18850102-714-148109229.txt
Church,ORGANIZATION,18850102-714-148109229.txt
Gumeracha,PERSON,18850102-714-148109229.txt
Blumberg,PERSON,18850102-714-148109229.txt
Mount,ORGANIZATION,18850102-714-148109229.txt
Pleasant,ORGANIZATION,18850102-714-148109229.txt
Gumeracha,PERSON,18850102-714-148109229.txt
Blumberg,PERSON,18850102-714-148109229.txt
Mount,ORGANIZATION,18850102-714-148109229.txt
Pleasant,ORGANIZATION,18850102-714-148109229.txt
Manufacturing,ORGANIZATION,18850102-714-148109229.txt
District,ORGANIZATION,18850102-714-148109229.txt
CASTLEMAINE,ORGANIZATION,18550131-13-4803802.txt
Creek,LOCATION,18550131-13-4803802.txt
Ford,PERSON,18550131-13-4803802.txt
Smith,PERSON,18550131-13-4803802.txt
Loddon,LOCATION,18550131-13-4803802.txt
ero,ORGANIZATION,18550131-13-4803802.txt
Hizinbotham,PERSON,18860116-947-199533688.txt
'the,ORGANIZATION,18860116-947-199533688.txt
Police,ORGANIZATION,18860116-947-199533688.txt
Court,ORGANIZATION,18860116-947-199533688.txt
John,PERSON,18860116-947-199533688.txt
Cohen,PERSON,18860116-947-199533688.txt
H.,PERSON,18860116-947-199533688.txt
B.,PERSON,18860116-947-199533688.txt
Loch,PERSON,18860116-947-199533688.txt
.of,PERSON,18860116-947-199533688.txt
Victoria,PERSON,18860116-947-199533688.txt
Castlerosse,PERSON,18860116-947-199533688.txt
Bteamer,PERSON,18860116-947-199533688.txt
TENNYSON,LOCATION,18990302-346-89458419.txt
Pannoomilloo,LOCATION,18990302-346-89458419.txt
Pitts,PERSON,18990302-346-89458419.txt
United,LOCATION,18690929-107-63514702.txt
Kingdom,LOCATION,18690929-107-63514702.txt
United,LOCATION,18690929-107-63514702.txt
Kingdom,LOCATION,18690929-107-63514702.txt
Halliday,PERSON,18570106-13-7142775.txt
Fulton,PERSON,18570106-13-7142775.txt
Bowden,PERSON,18570106-13-7142775.txt
Mooro,PERSON,18570106-13-7142775.txt
Carlton,LOCATION,18570106-13-7142775.txt
Gardens,LOCATION,18570106-13-7142775.txt
Council,ORGANIZATION,18570106-13-7142775.txt
